,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
233,2021-03-22,32.8727,32.8727,31.5727,31.5727,517.2857142641001
234,2021-03-23,28.4152,28.7869,28.4152,28.7869,2374.4778324131
235,2021-03-24,28.9728,28.9728,28.9728,28.9728,526.7290640174
236,2021-03-25,31.201,31.201,31.201,31.201,1.0492610837
237,2021-03-26,31.3868,31.3868,31.3868,31.3868,291.6945812686
238,2021-03-29,31.3868,31.3868,31.3868,31.3868,22.0344827577
239,2021-03-30,31.0161,31.0161,31.0161,31.0161,36.724137929499996
240,2021-03-31,29.1586,29.7152,29.1586,29.7152,518.3349753478
241,2021-04-01,31.3868,31.3868,29.7152,31.201,400.8177339734
242,2021-04-06,31.201,31.5727,30.0869,30.0869,1420.6995073298
243,2021-04-08,30.6444,31.5727,30.6444,31.5727,91.2857142819
244,2021-04-09,31.9444,32.3161,31.7585,32.3161,427.04926106589994
245,2021-04-12,32.8727,32.8727,32.3161,32.3161,1105.9211822198
246,2021-04-13,31.9444,31.9444,31.9444,31.9444,108.0738916211
247,2021-04-14,32.5019,32.5019,32.5019,32.5019,108.0738916211
248,2021-04-16,32.3161,32.5019,32.3161,32.5019,215.09852215849997
249,2021-04-19,32.5019,32.5019,31.9444,32.5019,206.70443348889998
250,2021-04-20,32.5019,32.5019,31.9444,31.9444,27.280788176199998
251,2021-04-21,31.9444,31.9444,31.9444,31.9444,2.0985221674
252,2021-04-22,31.5727,32.3161,31.5727,32.3161,237.13300491619998
253,2021-04-23,32.3161,32.3161,30.0869,32.3161,137.45320196469999
254,2021-04-26,32.3161,33.4302,32.3161,33.4302,1501.4926107747
255,2021-04-29,33.4302,33.4302,32.8727,32.8727,139.5517241321
256,2021-04-30,32.5019,33.4302,32.5019,33.2443,441.7389162377
257,2021-05-05,45.5025,45.5025,45.5025,45.5025,1062.9014777881
258,2021-05-06,50.1448,54.7881,45.5025,48.2883,3633.5911328531
259,2021-05-07,49.6807,52.0023,46.4308,46.4308,973.7142856736
260,2021-05-10,50.6099,50.6099,42.1592,42.7167,1332.5615762989999
261,2021-05-11,42.7167,43.2733,42.7167,43.2733,151.0935960528
262,2021-05-12,44.5733,46.4308,44.5733,46.4308,709.3004925811999
263,2021-05-13,46.4308,46.4308,44.2016,44.2016,514.1379310130001
264,2021-05-14,44.2016,45.5025,44.2016,45.5025,66.1034482731
265,2021-05-17,46.4308,48.2883,46.4308,48.2883,984.2068965106
266,2021-05-18,49.2165,53.8598,48.2883,53.3957,614.8669950482
267,2021-05-19,53.3957,53.3957,51.074,51.074,1629.5024629860998
268,2021-05-20,47.8232,49.6807,47.8232,49.6807,139.5517241321
269,2021-05-21,49.6807,49.6807,49.6807,49.6807,169.9802955594
270,2021-05-24,48.2883,50.1448,43.4592,50.1448,1358.7931033915
271,2021-05-25,51.074,51.5382,49.2165,49.2165,269.6600985109
272,2021-05-26,49.2165,51.5382,49.2165,51.074,155.2906403876
273,2021-05-27,51.074,51.074,49.2165,49.2165,59.8078817709
274,2021-05-28,49.2165,51.074,48.7524,49.6807,279.1034482642
275,2021-05-31,50.6099,52.4664,50.1448,52.0023,1318.9211822109
276,2021-06-01,54.7881,54.7881,52.0023,53.8598,1440.6354679201002
277,2021-06-02,54.3239,54.7881,52.9306,54.3239,1050.3103447837
278,2021-06-04,58.1362,58.1362,52.4178,52.4178,107.0246305374
279,2021-06-07,54.8005,55.7535,54.3239,54.3239,169.9802955594
280,2021-06-08,54.3239,54.3239,52.4178,52.4178,451.182265991
281,2021-06-09,50.5117,53.3709,47.461999999999996,51.9413,236.0837438325
282,2021-06-10,52.4178,52.4178,52.4178,52.4178,424.9507388985
283,2021-06-11,52.4178,52.4178,49.0822,49.0822,750.2216748455
284,2021-06-14,48.6056,50.5117,48.1291,50.5117,1364.03940881
285,2021-06-15,50.5117,50.9883,50.0352,50.0352,73.44827585899999
286,2021-06-16,48.1291,49.0822,43.4592,49.0822,4952.512315064
287,2021-06-17,45.7465,47.6526,45.3653,47.6526,2419.5960590122
288,2021-06-18,48.6056,49.0822,47.6526,47.6526,629.55665022
289,2021-06-21,46.5089,49.0822,46.5089,49.0822,761.7635467662
290,2021-06-22,48.6056,49.0822,46.5089,49.0822,580.2413792861
291,2021-06-24,48.6056,48.6056,47.6526,47.6526,152.1428571365
292,2021-06-25,48.6056,49.0822,47.0808,49.0822,359.89655170910004
293,2021-06-28,49.0822,49.0822,45.7465,45.7465,711.3990147486
294,2021-06-29,48.1291,48.1291,47.6526,47.6526,72.3990147753
295,2021-06-30,47.6526,50.5117,47.6526,50.5117,870.886699471
296,2021-07-01,50.5117,50.5117,46.5089,49.5587,124.86206896030001
297,2021-07-05,49.5587,49.5587,46.6995,48.6056,887.6748768102001
298,2021-07-06,48.6056,49.5587,47.6526,48.6056,549.8128078587999
299,2021-07-07,48.1291,48.1291,47.6526,47.6526,104.92610837
300,2021-07-08,48.6056,48.6056,48.6056,48.6056,103.87684728629999
301,2021-07-09,48.1291,48.1291,48.1291,48.1291,10.492610837
302,2021-07-12,46.8901,48.1291,46.6995,47.2714,97.5812807841
303,2021-07-13,48.1291,48.1291,47.6526,48.1291,77.6453201938
304,2021-07-14,46.8901,48.6056,46.8901,48.1291,70.3004926079
305,2021-07-15,48.6056,48.6056,48.1291,48.6056,44.0689655154
306,2021-07-16,48.6056,48.6056,48.6056,48.6056,153.1921182202
307,2021-07-19,46.6995,46.6995,46.6995,46.6995,120.6650246255
308,2021-07-20,46.6995,47.6526,46.5089,46.5089,214.0492610748
309,2021-07-22,46.6995,46.6995,44.7934,44.7934,81.8423645286
310,2021-07-23,44.7934,44.7934,44.7934,44.7934,209.85221674
311,2021-07-26,47.461999999999996,47.461999999999996,47.461999999999996,47.461999999999996,54.561576352399996
312,2021-07-27,46.6995,46.6995,46.6995,46.6995,20.985221674
313,2021-07-28,43.8404,43.8404,43.8404,43.8404,104.92610837
314,2021-07-29,45.7465,46.3183,45.7465,46.3183,45.1182265991
315,2021-08-02,48.1291,48.1291,47.6526,47.6526,283.300492599
316,2021-08-04,44.983999999999995,47.6526,44.983999999999995,47.6526,9.4433497533
317,2021-08-05,47.6526,47.6526,45.3653,47.6526,41.970443348
318,2021-08-06,47.6526,47.6526,46.6995,46.6995,148.99507388540002
319,2021-08-09,46.3183,49.5587,46.3183,49.5587,123.8128078766
320,2021-08-10,48.6056,48.6056,48.1291,48.1291,111.2216748722
321,2021-08-11,49.5587,49.5587,49.0822,49.0822,173.1280788105
323,2021-08-13,47.6526,49.0822,47.6526,49.0822,288.5467980175
324,2021-08-16,49.0822,49.5587,48.6056,48.6056,1165.7290639907
325,2021-08-18,48.6056,48.6056,48.6056,48.6056,43.0197044317
326,2021-08-19,48.6056,48.6056,46.6995,47.6526,125.911330044
327,2021-08-20,48.6056,48.6056,48.6056,48.6056,1.0492610837
328,2021-08-23,48.1291,48.6056,46.3183,48.6056,76.5960591101
329,2021-08-24,48.6056,48.6056,48.6056,48.6056,245.52709358580003
330,2021-08-25,48.6056,48.6056,48.6056,48.6056,48.26600985020001
331,2021-08-26,47.6526,47.6526,47.6526,47.6526,31.477832511
332,2021-08-27,47.6526,47.6526,46.1277,46.1277,89.18719211450001
333,2021-08-30,46.6995,48.1291,46.6995,48.1291,115.41871920700001
334,2021-08-31,48.1291,49.5587,48.1291,49.0822,605.4236452949
335,2021-09-02,49.5587,49.5587,46.3183,49.0822,111.2216748722
337,2021-09-06,49.5587,49.5587,49.0822,49.0822,93.3842364493
338,2021-09-07,50.5117,50.5117,48.6056,48.6056,465.8719211628
339,2021-09-10,48.6056,50.0352,48.1291,49.5587,164.7339901409
340,2021-09-13,49.5587,49.5587,49.0822,49.0822,210.9014778237
341,2021-09-14,49.0822,49.0822,49.0822,49.0822,83.940886696
342,2021-09-15,48.6056,49.5587,48.6056,49.5587,138.5024630484
343,2021-09-16,49.0822,49.0822,49.0822,49.0822,31.477832511
344,2021-09-20,48.1291,48.1291,46.6995,46.6995,195.1625615682
345,2021-09-21,46.6995,48.1291,45.7465,48.1291,277.0049260968
346,2021-09-23,48.1291,50.0352,48.1291,50.0352,424.9507388985
347,2021-09-24,49.0822,50.5117,48.1291,48.1291,1081.7881772947
348,2021-09-27,48.1291,50.5117,48.1291,50.0352,287.4975369338
349,2021-09-28,50.0352,50.0352,50.0352,50.0352,112.2709359559
350,2021-09-30,50.0352,50.5117,50.0352,50.5117,452.2315270747
351,2021-10-01,45.7465,45.7465,45.5559,45.5559,3537.0591131527003
352,2021-10-04,45.5559,45.5559,44.7934,44.7934,1033.5221674445
353,2021-10-05,43.6498,43.6498,43.6498,43.6498,768.0591132684
354,2021-10-06,42.6967,42.6967,42.3155,42.3155,928.5960590745
355,2021-10-07,43.0779,44.031000000000006,43.0779,44.031000000000006,175.2266009779
356,2021-10-08,43.8404,44.2216,43.8404,44.2216,58.7586206872
357,2021-10-11,45.5559,45.5559,44.7934,44.7934,445.9359605725
358,2021-10-12,45.1746,45.1746,45.1746,45.1746,206.70443348889998
359,2021-10-13,45.1746,45.1746,45.1746,45.1746,181.5221674801
360,2021-10-14,45.5559,45.5559,45.5559,45.5559,10.492610837
361,2021-10-15,45.5559,45.5559,45.5559,45.5559,32.5270935947
362,2021-10-18,44.7934,44.7934,44.7934,44.7934,310.5812807752
363,2021-10-19,44.7934,44.7934,44.7934,44.7934,52.463054185
364,2021-10-20,43.8404,43.8404,43.2685,43.2685,386.12807880160005
365,2021-10-21,42.8873,42.8873,42.8873,42.8873,251.822660088
366,2021-10-22,42.5061,42.5061,41.9343,41.9343,578.1428571187
367,2021-10-25,42.1249,42.6967,42.1249,42.6967,235.0344827488
368,2021-10-26,41.1718,42.8873,41.1718,42.8873,249.72413792060001
369,2021-10-27,42.8873,42.8873,42.8873,42.8873,50.364532017600006
370,2021-10-28,42.8873,42.8873,42.8873,42.8873,69.2512315242
371,2021-10-29,42.8873,42.8873,42.8873,42.8873,34.6256157621
372,2021-11-02,43.8404,43.8404,43.8404,43.8404,99.6798029515
373,2021-11-03,42.8873,42.8873,42.8873,42.8873,219.29556649330002
374,2021-11-04,41.9343,41.9343,41.9343,41.9343,2.0985221674
375,2021-11-05,41.1718,41.1718,41.1718,41.1718,419.70443348
376,2021-11-08,40.2188,40.2188,40.2188,40.2188,372.48768471349996
378,2021-11-12,39.0751,39.0751,39.0751,39.0751,278.0541871805
379,2021-11-15,38.1221,38.1221,37.169000000000004,37.169000000000004,551.9113300262001
380,2021-11-16,35.2629,36.216,35.2629,36.216,676.7733989865001
