,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
166,2020-09-03,4.94827,5.0365400000000005,4.94827,4.94827,4626.96
167,2020-09-04,4.94827,5.0365400000000005,4.90394,4.9924,2046.72
168,2020-09-07,5.0365400000000005,5.0365400000000005,4.94827,5.0365400000000005,13209.04
169,2020-09-08,4.94827,5.08067,4.94827,5.0365400000000005,7189.52
170,2020-09-09,4.9924,5.0365400000000005,4.90394,5.0365400000000005,4169.36
171,2020-09-10,4.9924,5.0365400000000005,4.9924,5.0365400000000005,3666.0
172,2020-09-11,5.0365400000000005,5.0365400000000005,4.9924,5.0365400000000005,8538.4
176,2020-09-17,5.0365400000000005,5.16904,5.0365400000000005,5.16904,11021.92
177,2020-09-18,5.21327,5.21327,5.0365400000000005,5.16904,29083.6
179,2020-09-22,5.21327,5.21327,5.1249,5.21327,6141.2
180,2020-09-23,5.21327,6.18519,5.21327,6.09692,107448.64
181,2020-09-24,6.00856,6.53875,5.655,5.83183,123986.72
182,2020-09-25,5.434130000000001,5.47837,4.9924,5.1249,124813.52
183,2020-09-28,5.1249,5.2575,5.0365400000000005,5.16904,27999.92
184,2020-09-29,5.30163,5.34577,5.16904,5.30163,29710.72
186,2020-10-01,5.4399,5.4399,5.30163,5.4399,4235.92
188,2020-10-05,5.34769,5.39385,5.25558,5.39385,5038.8
189,2020-10-06,5.39385,5.39385,5.25558,5.39385,4858.88
190,2020-10-07,5.39385,5.39385,5.34769,5.39385,2072.72
191,2020-10-08,5.34769,5.39385,5.25558,5.34769,9904.96
192,2020-10-09,5.34769,5.39385,5.25558,5.39385,8337.68
194,2020-10-13,5.30163,5.39385,5.07115,5.30163,20122.96
195,2020-10-14,5.30163,5.30163,5.07115,5.25558,13835.12
196,2020-10-15,5.20942,5.25558,5.07115,5.16337,5736.64
197,2020-10-16,5.25558,5.39385,5.25558,5.25558,8764.08
198,2020-10-19,5.34769,5.39385,5.34769,5.39385,3490.24
199,2020-10-20,5.4399,5.4399,5.34769,5.4399,3137.68
201,2020-10-22,5.48606,5.48606,5.25558,5.4399,3629.6
202,2020-10-23,5.48606,5.48606,5.30163,5.4399,5345.6
203,2020-10-26,5.4399,5.48606,5.30163,5.48606,2498.08
204,2020-10-27,5.34769,5.48606,5.34769,5.4399,1676.48
205,2020-10-28,5.34769,5.4399,5.07115,5.16337,11253.84
207,2020-10-30,5.07115,5.20942,5.07115,5.20942,2667.6
210,2020-11-04,5.11721,5.30163,5.07115,5.25558,9858.16
211,2020-11-05,5.25558,5.25558,5.16337,5.25558,3729.44
212,2020-11-06,5.30163,5.30163,5.16337,5.30163,1438.32
213,2020-11-09,5.30163,5.30163,5.11721,5.25558,16025.36
